state_code,state_name,audit_status,authority_status,local_terms,enabling_authority_url,statewide_registry_status,statewide_registry_url,known_local_sources,map_source_count,map_record_count,coverage_status,confidence,last_researched,next_review_due,next_action,notes
AL,Alabama,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
AK,Alaska,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
AZ,Arizona,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
AR,Arkansas,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
CA,California,in_progress,verified,Business Improvement District; Property and Business Improvement District; Community Benefit District,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=SHC&sectionNum=36614.5.,not_located,,San Francisco CBD GIS https://data.sfgov.org/d/c28a-f6gs; San Diego BID GIS https://data.sandiego.gov/datasets/gis-business-improvement-districts/,2,34,partial,medium,2026-07-16,2026-08-15,Find official lists and boundaries for other California cities.,State enabling authority is verified. Current map coverage is limited to San Francisco and San Diego.
CO,Colorado,in_progress,verified,Business Improvement District,https://content.leg.colorado.gov/sites/default/files/images/olls/crs2024-title-31.pdf,not_located,,Denver official BID boundaries https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/ArcGIS/rest/services/ODC_ADMN_BUSINESSIMPROVDIST_A/FeatureServer/1,1,12,partial,high,2026-07-17,2026-10-15,Enumerate active BIDs outside Denver using DOLA filings and official municipal records.,Denver has a current official boundary feed for 12 active BIDs. Colorado remains partial and DDA GID and special improvement districts are not treated as BID aliases.
CT,Connecticut,in_progress,verified,Business Improvement District; Special Services District,https://www.cga.ct.gov/Current/pub/chap_105a.htm,not_located,,Hartford BID GIS https://data.hartford.gov/datasets/hartfordgis::business-improvement-district,1,1,partial,medium,2026-07-16,2026-08-15,Identify every municipal special services district and locate official boundaries.,The enabling chapter is verified. The map currently includes only Hartford.
DE,Delaware,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
DC,District of Columbia,in_progress,verified,Business Improvement District; Community Improvement District,https://code.dccouncil.gov/us/dc/council/code/sections/2-1215.01,verified,https://dslbd.dc.gov/service/business-improvement-districts-bids,DC BID open data https://opendata.dc.gov/datasets/DCGIS::business-improvement-districts,1,13,needs_review,high,2026-07-16,2026-08-15,Reconcile 13 mapped features with the current official list of 12 BIDs.,The official registry currently says 12 BIDs while the configured boundary layer produces 13 records.
FL,Florida,in_progress,verified,Business Improvement District; Special Assessment District,https://www.leg.state.fl.us/Statutes/index.cfm?App_mode=Display_Statute&URL=0100-0199/0170/0170.html,verified,https://floridajobs.org/community-development/community-planning/special-districts/special-district-accountability-program/official-list-of-special-districts,FloridaCommerce official special district list; City of Miami and City of Miami Beach assessment records,1,5,substantial,high,2026-07-17,2026-10-15,Monitor the statewide registry and municipal assessment records; investigate BID-branded municipal programs outside the Chapter 170 registry.,FloridaCommerce reports five active districts with the Business Improvement purpose and all five are mapped. Residential and safety neighborhood districts are excluded. Boundaries are generalized from official assessment maps pending parcel-level GIS feeds.
